mood,excersice_suggestions,music_suggestions,book__suggestions,self-care_suggestions,mood_label
Happy,"Dance workout, Go jogging",Upbeat playlist,"""The Happiness Project""",Write in a gratitude journal,8
Sad,"Gentle yoga, Go for a walk",Calming music,"""The Comfort Book""",Watch a favorite movie,11
Anxious,"Deep breathing, Meditation",Relaxing ambient music,"""Dare: The New Way to End Anxiety""",Practice grounding techniques,1
Stressed,"Yoga, Take a short walk",Nature sounds,"""The Relaxation Response""",Take a warm bath,13
Angry,"Boxing, Intense workout","Energetic, rhythmic music","""Anger: Wisdom for Cooling the Flames""",Practice deep breathing,0
Frustrated,"Puzzle solving, Light exercise",Classical music,"""Getting Things Done""",Try mindfulness exercises,5
Tired,"Stretching, Light yoga",Calm acoustic,"""Why We Sleep""","Take a nap, hydrate",14
Bored,"Learn a new skill, Dance","Fun, energetic music","""Atomic Habits""",Start a creative project,2
Scared,"Slow breathing, Gentle stretching",Soothing music,"""Feel the Fear and Do It Anyway""","Talk to a friend, journal your fears",12
Grateful,"Gentle stretching, Yoga","Happy, positive music","""Thanks!: How the New Science of Gratitude""",Write down three things you?re grateful for,6
Lonely,"Go for a walk, Join a group class",Uplifting music,"""Together: The Healing Power of Connection""","Call or text a friend, join a social group",10
Hopeful,"Gentle workout, Meditation",Optimistic music,"""The Power of Positive Thinking""","Set small goals, start a journa",9
Guilty,"Reflective meditation, Stretching","Gentle, contemplative music","""Radical Acceptance""",Practice self-forgiveness,7
Embarrassed,"Deep breathing, Short walk","Light, calming music","""Brene Brown's books on vulnerability""","Laugh it off, remind yourself everyone errs",4
Content,"Light stretching, Gentle yoga","Satisfying, mellow music","""The Art of Happiness""","Enjoy the moment, savor your contentment",3
